226	A2	board-record	/Users/felix/code/agents/desk/cmux-feedback-draft.md
633	A2	board-record	/Users/felix/code/agents/docs/load-map.md
1168	A2	board-record	/Users/felix/code/agents/docs/the-city.md
587	A12	tooling	/Users/felix/code/agents/doctrine/README.md
570	A12	tooling	/Users/felix/code/agents/guard/README.md
182	A12	tooling	/Users/felix/code/agents/lab/017/c1-metrics.md
497	A12	tooling	/Users/felix/code/agents/lab/017/c2/battery.md
884	A5	work-doc	/Users/felix/code/agents/plans/001-composition-model.md
1123	A5	work-doc	/Users/felix/code/agents/plans/002-work-doctrine.md
938	A5	work-doc	/Users/felix/code/agents/plans/003-global-claude-md.md
4051	A5	work-doc	/Users/felix/code/agents/plans/004-sync.md
1769	A5	work-doc	/Users/felix/code/agents/plans/005-saturation-harvest.md
1586	A5	work-doc	/Users/felix/code/agents/plans/006-hexwright-retrofit.md
1822	A5	work-doc	/Users/felix/code/agents/plans/007-simmy-retrofit.md
2806	A5	work-doc	/Users/felix/code/agents/plans/008-summon-rig.md
2637	A5	work-doc	/Users/felix/code/agents/plans/009-summon-rig-v11.md
6104	A5	work-doc	/Users/felix/code/agents/plans/010-summon-rig-v12-usage.md
2127	A5	work-doc	/Users/felix/code/agents/plans/011-summon-rig-v13-live-refresh.md
1591	A5	work-doc	/Users/felix/code/agents/plans/012-dispatch-guard.md
2671	A6	work-doc	/Users/felix/code/agents/plans/013-summon-rig-name-stamp.md
2437	A6	work-doc	/Users/felix/code/agents/plans/014-summon-rig-theater-cycle.md
2281	A6	work-doc	/Users/felix/code/agents/plans/016-doctrine-linter.md
4104	A6	work-doc	/Users/felix/code/agents/plans/017-storage-experiment.md
6312	A6	work-doc	/Users/felix/code/agents/plans/018-great-recut.md
1933	A6	work-doc	/Users/felix/code/agents/plans/019-doctrine-hardening.md
648	A6	work-doc	/Users/felix/code/agents/plans/020-continuous-flow.md
331	A6	work-doc	/Users/felix/code/agents/plans/021-vocabulary.md
364	A6	work-doc	/Users/felix/code/agents/plans/022-summon-argv.md
882	A5	work-doc	/Users/felix/code/agents/plans/BULLETIN.md
106	A5	work-doc	/Users/felix/code/agents/plans/RIDER.md
2089	A6	work-doc	/Users/felix/code/agents/plans/belvedere.md
753	A5	work-doc	/Users/felix/code/agents/plans/log-tradition.md
1574	A5	work-doc	/Users/felix/code/agents/plans/night-shift.md
1053	A5	work-doc	/Users/felix/code/agents/plans/quartermaster.md
2874	A12	tooling	/Users/felix/code/agents/summon/README.md
503	B1	dialect-hexwright	/Users/felix/code/hexwright/CLAUDE.md
608	B1	dialect-hexwright	/Users/felix/code/hexwright/DECISIONS.md
2655	B1	dialect-hexwright	/Users/felix/code/hexwright/GENESIS.md
3282	B1	dialect-hexwright	/Users/felix/code/hexwright/LEDGER.md
1649	B1	dialect-hexwright	/Users/felix/code/hexwright/LOG.md
